query_id,query_cluster,query_text,surface,surface_mode,run_at_utc,artifact_path,rhumb_mentioned,resolve_mentioned,citation_url,citation_type,entity_accuracy,claim_accuracy,competitors_named,composio_present,actionability,keel_review_status,notes
Q3,index,Agent-native service directory,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q3__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q4,index,MCP-compatible APIs for agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q4__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q4,index,MCP-compatible APIs for agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q4__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q4,index,MCP-compatible APIs for agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q4__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q4,index,MCP-compatible APIs for agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:12:57Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q4__Gemini__20260425T151257Z.md,no,no,https://smithery.ai/,external article,0,0,"Smithery, Exa, Brave Search",no,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q4,index,MCP-compatible APIs for agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q4__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q5,index,Capability discovery for AI agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q5__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q5,index,Capability discovery for AI agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q5__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q5,index,Capability discovery for AI agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q5__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q5,index,Capability discovery for AI agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:13:07Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q5__Gemini__20260425T151307Z.md,no,no,,none,0,0,LangChain,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q5,index,Capability discovery for AI agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q5__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q6,index,Agent credential management,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q6__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q6,index,Agent credential management,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q6__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q6,index,Agent credential management,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q6__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q6,index,Agent credential management,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:13:16Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q6__Gemini__20260425T151316Z.md,no,no,,none,0,0,,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q6,index,Agent credential management,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q6__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q7,index,API reliability evaluation for agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q7__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q7,index,API reliability evaluation for agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q7__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q7,index,API reliability evaluation for agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q7__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q7,index,API reliability evaluation for agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:13:27Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q7__Gemini__20260425T151327Z.md,no,no,,none,0,0,Make,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q7,index,API reliability evaluation for agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q7__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q8,index,Agent-native compatibility ratings,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q8__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q8,index,Agent-native compatibility ratings,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q8__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q8,index,Agent-native compatibility ratings,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q8__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q8,index,Agent-native compatibility ratings,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:13:39Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q8__Gemini__20260425T151339Z.md,no,no,,none,0,0,,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q8,index,Agent-native compatibility ratings,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q8__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q9,index,API discovery and routing layer for agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q9__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q9,index,API discovery and routing layer for agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q9__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q9,index,API discovery and routing layer for agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q9__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q9,index,API discovery and routing layer for agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:13:50Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q9__Gemini__20260425T151350Z.md,no,no,,none,0,0,"LangChain, Toolhouse",no,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q9,index,API discovery and routing layer for agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q9__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q10,index,Package manager for agent services/APIs,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q10__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q10,index,Package manager for agent services/APIs,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q10__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q10,index,Package manager for agent services/APIs,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q10__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q10,index,Package manager for agent services/APIs,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:01Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q10__Gemini__20260425T151401Z.md,no,no,,none,0,0,"Composio, LangChain, Merge",yes,3,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q10,index,Package manager for agent services/APIs,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q10__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q11,resolve,Credential management for autonomous agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q11__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q11,resolve,Credential management for autonomous agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q11__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q11,resolve,Credential management for autonomous agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q11__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q11,resolve,Credential management for autonomous agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:12Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q11__Gemini__20260425T151412Z.md,no,no,,none,0,0,,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q11,resolve,Credential management for autonomous agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q11__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q12,resolve,Multi-provider routing/failover for agents,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q12__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q12,resolve,Multi-provider routing/failover for agents,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q12__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q12,resolve,Multi-provider routing/failover for agents,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q12__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q12,resolve,Multi-provider routing/failover for agents,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:24Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q12__Gemini__20260425T151424Z.md,no,no,,none,0,0,LangChain,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q12,resolve,Multi-provider routing/failover for agents,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q12__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q13,resolve,External API access without managing keys,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q13__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q13,resolve,External API access without managing keys,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q13__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q13,resolve,External API access without managing keys,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q13__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q13,resolve,External API access without managing keys,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:37Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q13__Gemini__20260425T151437Z.md,no,no,,none,0,0,Auth0,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q13,resolve,External API access without managing keys,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q13__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q14,resolve,Governed execution layer for agent tool calling,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q14__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q14,resolve,Governed execution layer for agent tool calling,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q14__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q14,resolve,Governed execution layer for agent tool calling,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q14__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q14,resolve,Governed execution layer for agent tool calling,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:46Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q14__Gemini__20260425T151446Z.md,no,no,,none,0,0,LangChain,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q14,resolve,Governed execution layer for agent tool calling,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q14__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q15,resolve,Managed API access with pay-per-call pricing,GPT-4,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q15__GPT-4__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q15,resolve,Managed API access with pay-per-call pricing,Claude,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q15__Claude__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q15,resolve,Managed API access with pay-per-call pricing,Perplexity,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q15__Perplexity__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
Q15,resolve,Managed API access with pay-per-call pricing,Gemini,Gemini CLI 0.36.0; default main model gemini-3-flash-preview via CLI router; wrapped benchmark prompt; no tools invoked; no Google-grounded web retrieval/citation cards; empty temp cwd; not Month-0-equivalent if baseline used Gemini web UI,2026-04-25T15:14:58Z,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q15__Gemini__20260425T151458Z.md,no,no,,none,0,0,Make,no,2,not_required,Gemini CLI diagnostic capture; no Rhumb mention; no citation cards returned by this mode.
Q15,resolve,Managed API access with pay-per-call pricing,Copilot,pending,pending,docs/dc90-measurement/month1-2026-04/raw-artifacts/Q15__Copilot__YYYYMMDDTHHMMSSZ.md,pending,pending,,pending,pending,pending,,pending,pending,pending,
